poll_link_1,poll_link_1/_text,poll_link_1/_title,poll_link_2,poll_link_2/_text,poll_link_2/_title,date_value,year_value,trump_value,carson_value,cruz_value,rubio_value,bush_number,fiorina_value,christie_number,kasich_value,huckabee_value,paul_number,pataki_value,graham_value,santorum_value,spread_value
http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2116,Quinnipiac,,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2116,Quinnipiac,,11/18 - 11/23,2014,0,9,5,3,14,0,11,2,7,8,0,0,2,Bush +3
http://www.rasmussenreports.com/public_content/politics/elections/election_2016/clinton_still_leads_democrats_gop_race_wide_open_for_2016,Rasmussen,,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/clinton_still_leads_democrats_gop_race_wide_open_for_2016,Rasmussen,,11/20 - 11/21,2014,0,0,0,0,18,0,15,0,0,13,0,0,0,Walker +2
http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2014/10/19/National-Politics/Polling/question_14941.xml?uuid=b0cc4ldEEeS4bRhKwoE4jQ,ABC/Wash Post,,http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2014/10/19/National-Politics/Polling/question_14941.xml?uuid=b0cc4ldEEeS4bRhKwoE4jQ,ABC/WP,,10/9 - 10/12,2014,0,7,4,8,13,0,8,2,12,12,0,0,4,Bush +1
https://s3.amazonaws.com/s3.documentcloud.org/documents/1308863/2016-mcclatchy-marist-poll-presidency-october-2014.pdf#storylink=relast,McClatchy/Marist,,https://s3.amazonaws.com/s3.documentcloud.org/documents/1308863/2016-mcclatchy-marist-poll-presidency-october-2014.pdf#storylink=relast,McClatchy,,9/24 - 9/29,2014,0,0,4,6,15,0,12,0,0,13,0,0,3,Bush +2
"http://maristpoll.marist.edu/wp-content/misc/usapolls/us140804/2016/Complete%20August%2014,%202014%20McClatchy_Marist%20Poll%20Release%20and%20Tables.pdf",McClatchy/Marist,,"http://maristpoll.marist.edu/wp-content/misc/usapolls/us140804/2016/Complete%20August%2014,%202014%20McClatchy_Marist%20Poll%20Release%20and%20Tables.pdf",McClatchy,,8/4 - 8/4,2014,0,0,10,9,13,0,13,0,0,7,0,0,3,Tie
http://www.foxnews.com/politics/interactive/2014/07/28/fox-news-polls-midterm-elections-2016-presidential-matchups/,FOX News,,http://www.foxnews.com/politics/interactive/2014/07/28/fox-news-polls-midterm-elections-2016-presidential-matchups/,FOX News,,7/20 - 7/22,2014,0,0,9,9,12,0,10,2,0,11,0,0,3,Tie
http://i2.cdn.turner.com/cnn/2014/images/07/27/cnn.orc.poll.pdf,CNN/ORC,,http://i2.cdn.turner.com/cnn/2014/images/07/27/cnn.orc.poll.pdf,CNN/ORC,,7/18 - 7/20,2014,0,0,8,6,8,0,13,0,12,12,0,0,3,Christie +1
http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2058,Quinnipiac,,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2058,Quinnipiac,,6/24 - 6/30,2014,0,0,8,6,10,0,10,2,10,11,0,0,2,Paul +1
http://i2.cdn.turner.com/cnn/2014/images/06/15/cnn.poll.hillary.democrats.pdf,CNN/ORC,,http://i2.cdn.turner.com/cnn/2014/images/06/15/cnn.poll.hillary.democrats.pdf,CNN/ORC,,5/29 - 6/1,2014,0,0,9,8,12,0,8,0,11,14,0,0,4,Paul +2
http://i2.cdn.turner.com/cnn/2014/images/05/06/rel5d.pdf,CNN/ORC,,http://i2.cdn.turner.com/cnn/2014/images/05/06/rel5d.pdf,CNN/ORC,,5/2 - 5/4,2014,0,0,7,6,13,0,9,0,10,13,0,0,2,Tie
http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2014/04/30/National-Politics/Polling/question_14031.xml,ABC/Wash Post,,http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2014/04/30/National-Politics/Polling/question_14031.xml,ABC/WP,,4/24 - 4/27,2014,0,0,7,6,12,0,9,1,14,15,0,0,0,Paul +1
http://www.foxnews.com/politics/interactive/2014/04/16/fox-news-poll-many-voters-say-obama-lies-to-country-on-important-matters/,FOX News,,http://www.foxnews.com/politics/interactive/2014/04/16/fox-news-poll-many-voters-say-obama-lies-to-country-on-important-matters/,FOX News,,4/13 - 4/15,2014,0,0,7,8,14,0,15,0,0,14,0,0,5,Christie +1
http://www.mcclatchydc.com/2014/04/15/224503/poll-christie-regaining-but-clinton.html,McClatchy/Marist,,http://www.mcclatchydc.com/2014/04/15/224503/poll-christie-regaining-but-clinton.html,McClatchy,,4/7 - 4/10,2014,0,0,4,7,13,0,12,0,13,12,0,0,3,Tie
http://reason.com/assets/db/13964619214696.pdf,Reason-Rupe,,http://reason.com/assets/db/13964619214696.pdf,Reason,,3/26 - 3/30,2014,0,0,6,6,11,0,10,0,15,11,0,0,0,Huckabee +4
http://www.realclearpolitics.com/docs/2014/WPA_GOP2016_033014.pdf,WPA (R),,http://www.realclearpolitics.com/docs/2014/WPA_GOP2016_033014.pdf,WPA (R),,3/18 - 3/20,2014,0,0,9,6,11,0,9,0,13,13,0,0,3,Tie
http://politicalticker.blogs.cnn.com/2014/03/16/cnn-poll-rand-paul-goes-where-his-father-never-went/,CNN/ORC,,http://politicalticker.blogs.cnn.com/2014/03/16/cnn-poll-rand-paul-goes-where-his-father-never-went/,CNN/ORC,,3/7 - 3/9,2014,0,0,8,5,9,0,8,0,10,16,0,0,3,Paul +5
